sample,runid,library,fastq_folder
barcode01,run0,A,/home/user_ubuntu/bioinformatic_pipelines/vittoria/data/raw_data/2026_06_11_hbb_hba1_hba2/hbb_hba2/barcode01
barcode02,run0,A,/home/user_ubuntu/bioinformatic_pipelines/vittoria/data/raw_data/2026_06_11_hbb_hba1_hba2/hbb_hba2/barcode02
